File,Title Pass (<=65 chars),Desc Pass (>=70 chars),H1 Pass (Exists),CSS Pass (Absolute),OG Tags Pass
districts\sachem-csd\parent-advocacy-guide.html,True,True,True,True,True
districts\sachem-csd\partners.html,True,True,True,True,True
districts\sachem-csd\special-ed-updates.html,True,True,True,True,True
districts\schenectady-city-sd\cse-meeting-guide.html,True,True,True,True,True
districts\schenectady-city-sd\discipline-rights.html,True,True,True,True,True
districts\schenectady-city-sd\evaluation-process.html,True,True,True,True,True
districts\schenectady-city-sd\index.html,True,True,True,True,True
districts\schenectady-city-sd\leadership-directory.html,True,True,True,True,True
districts\schenectady-city-sd\parent-advocacy-guide.html,True,True,True,True,True
districts\schenectady-city-sd\partners.html,True,True,True,True,True
districts\schenectady-city-sd\special-ed-updates.html,True,True,True,True,True
districts\syracuse-city-sd\cse-meeting-guide.html,True,True,True,True,True
districts\syracuse-city-sd\discipline-rights.html,True,True,True,True,True
districts\syracuse-city-sd\evaluation-process.html,True,True,True,True,True
districts\syracuse-city-sd\index.html,True,True,True,True,True
districts\syracuse-city-sd\leadership-directory.html,True,True,True,True,True
districts\syracuse-city-sd\parent-advocacy-guide.html,True,True,True,True,True
districts\syracuse-city-sd\partners.html,True,True,True,True,True
districts\syracuse-city-sd\special-ed-updates.html,True,True,True,True,True
districts\utica-city-sd\cse-meeting-guide.html,True,True,True,True,True
districts\utica-city-sd\discipline-rights.html,True,True,True,True,True
districts\utica-city-sd\evaluation-process.html,True,True,True,True,True
districts\utica-city-sd\index.html,True,True,True,True,True
districts\utica-city-sd\leadership-directory.html,True,True,True,True,True
districts\utica-city-sd\parent-advocacy-guide.html,True,True,True,True,True
districts\utica-city-sd\partners.html,True,True,True,True,True
districts\utica-city-sd\special-ed-updates.html,True,True,True,True,True
districts\white-plains-city-sd\cse-meeting-guide.html,True,True,True,True,True
districts\white-plains-city-sd\discipline-rights.html,True,True,True,True,True
districts\white-plains-city-sd\evaluation-process.html,True,True,True,True,True
districts\white-plains-city-sd\index.html,True,True,True,True,True
districts\white-plains-city-sd\leadership-directory.html,True,True,True,True,True
districts\white-plains-city-sd\parent-advocacy-guide.html,True,True,True,True,True
districts\white-plains-city-sd\partners.html,True,True,True,True,True
districts\white-plains-city-sd\special-ed-updates.html,True,True,True,True,True
districts\william-floyd-ufsd\cse-meeting-guide.html,True,True,True,True,True
districts\william-floyd-ufsd\discipline-rights.html,True,True,True,True,True
districts\william-floyd-ufsd\evaluation-process.html,True,True,True,True,True
districts\william-floyd-ufsd\index.html,True,True,True,True,True
districts\william-floyd-ufsd\leadership-directory.html,True,True,True,True,True
districts\william-floyd-ufsd\parent-advocacy-guide.html,True,True,True,True,True
districts\william-floyd-ufsd\partners.html,True,True,True,True,True
districts\william-floyd-ufsd\special-ed-updates.html,True,True,True,True,True
districts\yonkers-city-sd\cse-meeting-guide.html,True,True,True,True,True
districts\yonkers-city-sd\discipline-rights.html,True,True,True,True,True
districts\yonkers-city-sd\evaluation-process.html,True,True,True,True,True
districts\yonkers-city-sd\index.html,True,True,True,True,True
districts\yonkers-city-sd\leadership-directory.html,True,True,True,True,True
districts\yonkers-city-sd\parent-advocacy-guide.html,True,True,True,True,True
districts\yonkers-city-sd\partners.html,True,True,True,True,True
districts\yonkers-city-sd\special-ed-updates.html,True,True,True,True,True
guides\index.html,True,True,True,True,True
guides\bilingual-iep-new-york\index.html,True,True,True,True,True
guides\carter-cases-private-placement\index.html,True,True,True,True,True
guides\cpse-preschool-special-education\index.html,True,True,True,True,True
guides\cse-meeting-guide\index.html,True,True,True,True,True
guides\dispute-resolution-ny\index.html,True,True,True,True,True
guides\evaluation-request-ny\index.html,True,True,True,True,True
privacy-policy\index.html,True,False,True,True,True
resources\index.html,True,True,True,True,True
shop\shop\index.html,True,True,True,True,True
